T (K),a,da/dT
346.98,0,0.00E+00
351.98,0,0.00E+00
356.98,0,0.00E+00
361.98,0,0.00E+00
366.98,0,0.00E+00
371.98,0,0.00E+00
376.98,0,0.00E+00
381.98,0,0.00E+00
427.15,0.003432918,9.61E-05
437.15,0.005149377,1.86E-04
442.15,0.006865835,2.21E-04
452.15,0.008582294,2.39E-04
462.15,0.012015212,4.27E-04
467.15,0.01544813,5.55E-04
472.15,0.018881047,6.81E-04
477.32,0.022313965,6.77E-04
482.32,0.025746992,6.80E-04
487.32,0.02917991,6.87E-04
492.32,0.032612828,6.87E-04
497.32,0.036045745,0.000686584
502.32,0.039478663,0.000787125
507.32,0.04462804,0.000929334
512.32,0.049777416,0.001029875
517.32,0.054926793,0.001029881
522.32,0.060076279,0.00111565
527.32,0.066942114,0.001131805
532.32,0.072091491,0.001116525
537.32,0.077240867,0.001035376
542.48,0.082390244,0.000946888
547.48,0.089256079,0.000899857
552.48,0.092688997,0.000862336
557.48,0.097838483,0.000830425
562.48,0.101271401,0.000886856
567.48,0.106420777,0.000813306
572.48,0.109853695,0.000773723
577.48,0.113286613,0.00082988
582.48,0.118435989,0.00098285
587.48,0.121868907,0.00120133
592.48,0.128734742,0.001419063
597.48,0.137317146,0.001583246
602.48,0.14589944,0.001701277
607.65,0.154481735,0.001692498
612.65,0.163064029,0.001787549
617.65,0.173362892,0.001814355
622.65,0.181945186,0.001771123
627.65,0.19052748,0.001685814
632.65,0.199109774,0.002683104
637.65,0.207692178,0.003296334
642.65,0.228289684,0.003924214
647.65,0.255753135,0.004621074
652.65,0.281500128,0.005059281
657.65,0.308963579,0.005340618
662.65,0.336426921,0.005401051
667.65,0.362173913,0.005310608
672.82,0.389637364,0.00531974
677.82,0.417100815,0.00534596
682.82,0.442847698,0.005369953
687.82,0.470311149,0.005403526
692.82,0.496058141,0.004703468
697.82,0.51322273,0.004175281
702.82,0.530387428,0.003429219
707.82,0.545835558,0.003215408
712.82,0.561283797,0.003089636
717.82,0.576731926,0.003175394
722.82,0.593896624,0.003189862
727.82,0.609344754,0.00314549
732.82,0.624792993,0.002975186
737.98,0.641957582,0.002715615
742.98,0.653972794,0.002125144
747.98,0.65912228,0.001600735
752.98,0.662555197,0.001050175
757.98,0.667704574,0.000814303
762.98,0.671137492,0.000901488
767.98,0.676286868,0.000940842
772.98,0.681436245,0.001029875
777.98,0.686585621,0.000929335
782.98,0.690018539,0.000787132
787.98,0.693451566,0.000686593
792.98,0.696884484,0.00068659
797.98,0.700317402,0.00068035
803.15,0.703750319,0.000677125
808.15,0.707183237,0.000680186
813.15,0.710616155,0.000686584
818.15,0.714049073,0.000686584
823.15,0.71748199,0.000686584
828.15,0.720914908,0.000597796
833.15,0.722631367,0.000562526
838.15,0.726064284,0.000500162
843.15,0.727780743,0.000562679
848.15,0.731213771,0.000599456
853.15,0.734646688,0.000597275
858.15,0.736363147,0.000555314
863.32,0.739796065,0.000488969
868.32,0.741512524,0.000537075
873.32,0.744945441,0.000488787
878.32,0.7466619,0.000539582
883.32,0.750094818,0.00048996
888.32,0.751811277,0.000539862
893.32,0.755244194,0.000489991
898.32,0.756960653,0.000539685
903.32,0.760393571,0.000488647
908.32,0.76211003,0.000531985
913.32,0.765543057,0.000462406
918.32,0.767259516,0.000458503
928.48,0.772408893,0.000437397
933.48,0.774125351,0.000465443
938.48,0.777558269,0.000450652
943.48,0.779274728,0.000428451
948.48,0.780991187,0.000427197
953.48,0.784424104,0.000442334
958.48,0.786140563,0.000398519
963.48,0.787857022,0.000394016
973.48,0.793006399,0.000412133
978.48,0.794722858,0.000397622
983.48,0.796439316,0.000389414
993.65,0.801588802,0.000410395
998.65,0.803305261,0.000402175
1003.65,0.80502172,0.000357511
1008.65,0.806738179,0.000329248
1028.65,0.815320473,0.000410387
1033.65,0.817036932,0.000374707
1038.65,0.818753391,0.000343292
1043.65,0.82046985,0.000343292
1048.65,0.822186309,0.000343292
1053.65,0.823902768,0.000340175
1058.82,0.825619226,0.000339561
1063.82,0.827335685,0.000339416
1098.82,0.837634548,0.000308361
1103.82,0.839351007,0.000323843
1108.82,0.841067466,0.000338669
1113.82,0.842783924,0.000347903
1133.98,0.847933301,0.000302027
1138.98,0.84964976,0.000309321
1143.98,0.851366219,0.00031544
1158.98,0.854799136,0.000293915
1163.98,0.856515595,0.000311306
1168.98,0.858232054,0.000320601
1189.15,0.863381431,0.000299373
1194.15,0.86509789,0.000299066
1214.15,0.870247376,0.000303657
1219.15,0.871963834,0.000318104
1224.15,0.873680293,0.000341535
